Genre,Year,NA_Sales,sales_pct
Action,3846970,570.3699999999973,384.01139627994297
Action-Adventure,386802,64.93,69.37110702200812
Adventure,1525870,160.2000000000002,94.82575974991073
Board Game,2017,0.06,0.07789173049461247
Education,2013,0.08,0.06927006667243918
Fighting,1117347,172.69999999999996,191.5419042584513
MMO,38274,4.86,4.026239534453486
Misc,2130009,280.60999999999984,155.71528819153235
Music,177312,25.060000000000006,24.259149670428766
Party,38238,2.25,2.1750256218014643
Platform,1500550,200.97000000000003,179.28249634230542
Puzzle,851031,58.25000000000004,38.785117425262165
Racing,2192116,267.5600000000001,209.63605342168418
Role-Playing,1586831,189.9800000000001,129.560387607739
Sandbox,2018,0.69,1.028775905770091
Shooter,2280247,524.1100000000001,429.5978387057319
Simulation,1303061,152.63000000000017,294.24320294675164
Sports,3657323,601.4899999999977,446.39173971134284
Strategy,664121,55.190000000000005,44.89561397688834
Visual Novel,24186,0.45,0.5057418308286511
